Dataset name, ResNet, NN_DTW
 ACSF1,0.05,0.36
 Adiac,0.1688,0.399
 AllGestureWiimoteX,0.3319,0.2843
 AllGestureWiimoteY,0.2847,0.3114
 AllGestureWiimoteZ,0.3834,0.3457
 ArrowHead,0.16,0.2914
 BME,0.0067,0.1267
 Beef,0.2333,0.3667
 BeetleFly,0.1,0.35
 BirdChicken,0.1,0.25
 CBF,0.0111,0.0022
 Car,0.0667,0.2833
 Chinatown,0.0175,0.0496
 ChlorineConcentration,0.1487,0.351
 CinCECGTorso,0.1362,0.3514
 Coffee,0.0,0.0
 Computers,0.172,0.284
 CricketX,0.1692,0.2462
 CricketY,0.1923,0.2462
 CricketZ,0.1795,0.2538
 Crop,0.2692,0.3266
 DiatomSizeReduction,0.0327,0.0392
 DistalPhalanxOutlineAgeGroup,0.2734,0.2518
 DistalPhalanxOutlineCorrect,0.1848,0.2717
 DistalPhalanxTW,0.3381,0.3957
 DodgerLoopDay,0.5125,0.5375
 DodgerLoopGame,0.2101,0.1087
 DodgerLoopWeekend,0.0145,0.0435
 ECG200,0.1,0.2
 ECG5000,0.0738,0.0749
 ECGFiveDays,0.1289,0.2439
 EOGHorizontalSignal,0.3481,0.5387
 EOGVerticalSignal,0.5249,0.5746
 Earthquakes,0.259,0.2734
 ElectricDevices,0.2494,0.4099
 EthanolLevel,0.242,0.718
 FaceAll,0.1178,0.142
 FaceFour,0.0455,0.1364
 FacesUCR,0.0517,0.0946
 FiftyWords,0.2527,0.3209
 Fish,0.0171,0.1886
 FordA,0.0629,0.4318
 FordB,0.1753,0.3827
 FreezerRegularTrain,0.0074,0.1032
 FreezerSmallTrain,0.1526,0.2414
 Fungi,0.0054,0.2043
 GestureMidAirD1,0.4077,0.5385
 GestureMidAirD2,0.4692,0.6385
 GestureMidAirD3,0.6615,0.8
 GesturePebbleZ1,0.0988,0.3605
 GesturePebbleZ2,0.2215,0.3924
 GunPoint,0.0,0.1133
 GunPointAgeSpan,0.0095,0.0158
 GunPointMaleVersusFemale,0.0032,0.0158
 GunPointOldVersusYoung,0.0,0.0
 Ham,0.2667,0.5048
 HandOutlines,0.0784,0.1243
 Haptics,0.4773,0.6169
 Herring,0.3281,0.4531
 HouseTwenty,0.042,0.1765
 InlineSkate,0.6582,0.6218
 InsectEPGRegularTrain,0.0,0.0
 InsectEPGSmallTrain,0.0,0.0
 InsectWingbeatSound,0.5146,0.6414
 ItalyPowerDemand,0.0369,0.0496
 LargeKitchenAppliances,0.0907,0.216
 Lightning2,0.1803,0.1967
 Lightning7,0.1507,0.3014
 Mallat,0.0461,0.0631
 Meat,0.0667,0.0667
 MedicalImages,0.2342,0.2645
 MelbournePedestrian,0.05,0.1234
 MiddlePhalanxOutlineAgeGroup,0.3831,0.4935
 MiddlePhalanxOutlineCorrect,0.2062,0.2887
 MiddlePhalanxTW,0.474,0.4935
 MixedShapesRegularTrain,0.0264,0.1596
 MixedShapesSmallTrain,0.0928,0.2223
 MoteStrain,0.0727,0.1749
 NonInvasiveFetalECGThorax1,0.058,0.2056
 NonInvasiveFetalECGThorax2,0.0519,0.1359
 OSULeaf,0.0289,0.4132
 OliveOil,0.1333,0.1667
 PLAID,0.54,0.0689
 PhalangesOutlinesCorrect,0.1608,0.2774
 Phoneme,0.6682,0.7574
 PickupGestureWiimoteZ,0.16,0.24
 PigAirwayPressure,0.1923,0.8125
 PigArtPressure,0.0,0.5288
 PigCVP,0.0577,0.6635
 Plane,0.0,0.0
 PowerCons,0.1,0.1
 ProximalPhalanxOutlineAgeGroup,0.1659,0.1902
 ProximalPhalanxOutlineCorrect,0.0859,0.2165
 ProximalPhalanxTW,0.1951,0.2585
 RefrigerationDevices,0.456,0.5387
 Rock,0.34,0.52
 ScreenType,0.3733,0.6053
 SemgHandGenderCh2,0.1317,0.0933
 SemgHandMovementCh2,0.4844,0.2422
 SemgHandSubjectCh2,0.3844,0.1467
 ShakeGestureWiimoteZ,0.04,0.16
 ShapeletSim,0.1222,0.3722
 ShapesAll,0.0767,0.2383
 SmallKitchenAppliances,0.184,0.3707
 SmoothSubspace,0.0,0.1867
 SonyAIBORobotSurface1,0.0948,0.2745
 SonyAIBORobotSurface2,0.0294,0.1459
 StarLightCurves,0.0276,0.0976
 Strawberry,0.0297,0.0541
 SwedishLeaf,0.04,0.208
 Symbols,0.0241,0.0482
 SyntheticControl,0.0,0.01
 ToeSegmentation1,0.0263,0.1974
 ToeSegmentation2,0.0231,0.1615
 Trace,0.0,0.0
 TwoLeadECG,0.0009,0.0685
 TwoPatterns,0.006,0.0
 UMD,0.0278,0.1319
 UWaveGestureLibraryAll,0.1482,0.11
 UWaveGestureLibraryX,0.2164,0.2806
 UWaveGestureLibraryY,0.3272,0.3786
 UWaveGestureLibraryZ,0.254,0.3459
 Wafer,0.0047,0.0208
 Wine,0.3148,0.4259
 WordSynonyms,0.4028,0.3746
 Worms,0.2727,0.3896
 WormsTwoClass,0.1688,0.4156
 Yoga,0.122,0.164
